keyword,year
internet access,2019
internet access,2019
internet access,2018
internet access,2017
internet access,2017
internet access,2013
development assistance,2020
development assistance,2020
development assistance,2019
development assistance,2018
development assistance,2019
development assistance,2016
resource-use efficiency,2019
resilient infrastructure,2019
resilient infrastructure,2019
resilient infrastructure,2013
tariff,2020
tariff,2019
tariff,2019
tariff,2019
tariff,2019
tariff,2020
tariff,2019
tariff,2019
tariff,2019
tariff,2018
tariff,2018
tariff,2019
tariff,2018
tariff,2018
tariff,2018
tariff,2017
tariff,2017
tariff,2017
tariff,2016
tariff,2018
tariff,2016
tariff,2016
tariff,2017
tariff,2014
tariff,2014
tariff,2014
tariff,2013
tariff,2013
tariff,2013
tariff,2012
tariff,2012
tariff,2012
tariff,2011
maritime transport,2020
maritime transport,2016
maritime transport,2013
efficient transportation,2019
efficient transportation,2018
efficient transportation,2018
efficient transportation,2018
efficient transportation,2017
efficient transportation,2017
efficient transportation,2017
efficient transportation,2018
efficient transportation,2016
efficient transportation,2016
efficient transportation,2016
efficient transportation,2016
efficient transportation,2015
efficient transportation,2015
efficient transportation,2014
efficient transportation,2013
efficient transportation,2013
efficient transportation,2011
efficient transportation,2010
